#OTU_ID	BIOME110807	BIOME110803	BIOME111127	BIOME111123	BIOME109532	BIOME104803	BIOME109536	BIOME104766	BIOME104762	BIOME109020	BIOME109921	BIOME109028	BIOME110446	BIOME110442	BIOME109040	BIOME109048	BIOME111135	BIOME109528	BIOME104778	BIOME111226	BIOME109520	BIOME104770	BIOME109524	BIOME104774	BIOME110691	BIOME110510	BIOME110695	BIOME110514	BIOME110699	BIOME109913	BIOME110518	BIOME109917	BIOME109036	BIOME110450	BIOME109032	BIOME110454	BIOME110921	BIOME110458	BIOME111300	BIOME111304	BIOME111147	BIOME111143	BIOME111256	BIOME109516	BIOME109299	BIOME109291	BIOME109287	BIOME110426	BIOME110819	BIOME110422	BIOME109864	BIOME110811	BIOME109860	BIOME110815	BIOME111151	BIOME109872	BIOME104795	BIOME109876	BIOME104791	BIOME110867	BIOME110438	BIOME111272	BIOME109575	BIOME110482	BIOME109571	BIOME110522	BIOME109884	BIOME110526	BIOME109880	BIOME110879	BIOME110875	BIOME110871	BIOME111264	BIOME111260	BIOME109868	BIOME109567	BIOME109583	BIOME110799	BIOME109587	BIOME110719	BIOME110847	BIOME110715	BIOME110711	BIOME109950	BIOME109307	BIOME109303	BIOME109551	BIOME109555	BIOME111107	BIOME109942	BIOME110703	BIOME109946	BIOME110707	BIOME109007	BIOME110462	BIOME109004	BIOME110913	BIOME110466	BIOME109701	BIOME111131	BIOME109705	BIOME109709	BIOME109544	BIOME109540	BIOME111111	BIOME111115	BIOME111222	BIOME104758	BIOME109934	BIOME110909	BIOME109016	BIOME110901	BIOME109938
Treponema_succinifaciens	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
Alistipes_sp.HGB5	78	21	11	0	2	16	133	211	5	145	65	0	44	169	56	23	41	8	44	1	1	38	12	21	19	10	0	40	13	1	14	0	33	5	3	0	10	0	24	0	11	0	3	4	0	101	150	4	14	16	24	52	2	3	136	0	13	0	60	1	3	0	3	4	11	222	69	7	182	18	0	0	68	14	0	39	13	2	86	122	19	0	37	0	12	10	11	2	2	1	0	49	60	3	2	4	0	41	32	31	49	0	12	124	18	45	1	4	22	2	3	1	0
Bacteroides_pectinophilus	26	36	6	9	23	39	15	18	12	7	5	8	2	5	30	11	14	4	19	31	18	26	11	7	9	9	9	15	5	12	3	3	17	9	9	3	19	0	6	11	3	1	10	8	5	2	12	0	0	11	8	13	14	8	4	4	12	5	22	16	4	1	2	19	9	5	28	3	23	12	1	13	22	27	0	33	19	9	44	0	4	2	1	12	3	4	12	15	15	22	4	9	16	14	18	11	2	14	24	8	1	5	34	0	8	11	7	23	6	27	11	25	11
Clostridium_cellulovorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus_Phytoplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Caldanaerobacter_subterraneus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Coprobacillus_sp.D7	8	0	9	13	3	3	0	0	0	0	1	4	0	0	2	1	0	3	0	0	2	4	0	2	4	2	0	0	0	0	0	1	2	0	1	19	3	1	1	2	1	3	2	2	0	0	0	0	0	1	0	1	1	3	0	1	1	0	1	2	1	8	0	1	4	2	3	2	1	2	1	2	0	0	0	3	1	0	1	1	0	0	0	3	0	0	0	1	1	0	0	0	2	0	0	0	0	3	1	0	0	3	0	0	1	5	0	0	2	2	4	2	0
Bifidobacterium_adolescentis	0	3	0	0	0	1	3	4	827	522	0	300	1804	525	1	0	1	1	0	0	1615	6	3503	0	5	0	22	1	1034	141	25	10	2	10	62	0	0	0	24	0	29	0	6	10	10	46	865	1	0	1558	898	15	0	35	3	4233	1	0	4	3	18	0	64	0	0	0	21	0	0	12	5	2	0	4	0	6	0	153	5	603	0	0	2	23	0	2	739	0	2	1	4	0	26	1748	151	2616	1	567	0	0	1	1867	0	1	201	0	0	2335	4	8	431	0	1
Bifidobacterium_catenulatum	0	0	0	0	0	21	3	40	5	475	0	2	5	1	26	1	0	0	0	0	7	93	13	0	12	0	0	8	856	2	63	21	0	64	0	0	0	0	55	0	17	1	94	46	44	150	410	2	0	4	212	44	0	79	0	29	0	3	0	1	23	0	186	0	0	0	56	0	0	28	65	0	0	26	0	45	0	1	65	3	0	0	4	255	0	14	6	0	30	0	59	0	94	9	0	14	6	358	0	0	3	17	16	0	252	1	2	13	21	21	5	0	0
Streptococcus_thermophilus	134	223	80	20	4	3408	166	41	8	43	122	389	37	158	153	2	14	0	0	2	23	299	28	2	8	60	134	28	112	272	136	26	2	7	17	254	222	11	11	9	34	0	24	17	256	50	1	1	2	66	60	1757	177	11	6	2	54	141	51	3	335	1	701	64	132	254	76	1	489	177	134	27	19	29	0	26	39	7	22	570	108	1	43	34	3	66	3	1	5	9	2286	930	22	9	218	40	20	31	111	3	16	10	135	245	54	122	1	13	11	439	31	210	1
